"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"21";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ Matky Alexie";"Palackého 1";"Bratislava - Staré Mesto";"81102";;;;;;;;;;;"94,8397";"85,8564";;;"100";"90,0752";"89,3985";;;;;;;;;;;;;"25,4921";;;;
"22";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Evanjelická ZŠ";"Palisády 57";"Bratislava - Staré Mesto";"81106";;;;;;;;;;;;;;;"85,7143";"78,4962";"51,8045";;;;;;;;;;;;;"72,9717";;;;
"23";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Panenská 11";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91,7582";;;;
"24";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Podjavorinskej 9";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6,86813";;;;
"25";"Bratislavskı";"Bratislava I";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Svoradova 2";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0,549451";;;;
"26";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Škarniclova 1";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;"98,0453";"99,076";;;"80,9023";"67,7444";"73,985";;;;;;;;;;;;;"9,3615";;;;
"27";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Konzervatórium";"Slovenskı";"Konzervatórium";"Konzervatórium";"Tolstého 11";"Bratislava - Staré Mesto";"81106";"85,7143";;;;"85,7143";"28,5714";;"0";;;;;;;;;;;;;;;;;;;;;;"13,3333";;;;
"28";"Bratislavskı";"Bratislava I";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"S-ZŠ Cambridge (Funiversity)";"Úprkova 3";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"93,9015";"91,4712";;;;;;;;;;;;;;;;;;"58,8094";;;;
"29";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"SOŠ elektrotechnická";"Slovenskı";"Stredná odborná škola";"SOŠ elektr. Frassatiho";"Vazovova 12";"Bratislava - Staré Mesto";"81107";"9,15842";;;;"43,7956";;;;;;;;;;;;;;;;;;;;;;;;;"8,48624";;;;
"30";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"SOŠ geodetická";"Slovenskı";"Stredná odborná škola";"SOŠ geodetická";"Vazovova 14";"Bratislava - Staré Mesto";"81107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"31";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vazovova 4";"Bratislava - Staré Mesto";"81107";;;;;;;;;;;"81,7826";"92,5373";;;;;;;;;;;;;;;;;;"6,48104";;;;
"32";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Vazovova 6";"Bratislava - Staré Mesto";"81107";"47,3171";"65,1741";;;;"87";;;"71,6981";;;;;;"91,2698";"96,0317";"70,6349";;;;;;;;;;;;;"39,6396";;;;
"33";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ elektrotechnická";"Zochova 9";"Bratislava - Staré Mesto";"81103";"92,8218";"62";;;"98,2968";"97,006";;"60,4743";;;;;;;;;;;;;;;;;;;;;;"58,0275";;;;
"34";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Spojená škola - ZŠ sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";;;;;;;;;;;"66,6927";"75,764";;;"100";"94,7368";"70,8271";;;;;;;;;;;;;"7,00912";;;;
"35";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Spojená škola - Gymnázium sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";"80";"84,0796";;;;"92";;;;;;;;;"100";"96,8254";"83,3333";;;;;;;;;;;;;"37,8378";;;;
"36";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"Gymnázium";"Slovenskı";"Gymnázium";"1. súkromné gymnázium";"Bajkalská 20";"Bratislava - Ruinov";"82108";"98,0488";"89,0547";;;;"100";;;;;;;;;;;;;;;;;;;;;;;;"74,3243";;;;
"37";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"ZŠ pre intelektovo nadané deti";"Slovenskı";"Základná škola";"Súkr.ZŠ - nadané deti";"Bajkalská 20";"Bratislava - Ruinov";"82108";;;;;;;;;;;"98,4363";"99,8579";;;;;;;;;;;;;;;;;;"35,3337";;;;
"39";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;"28,8507";"44,2786";;;;;;;;;;;;;;;;;;"21,8915";;;;
"40";"Bratislavskı";"Bratislava II";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Súkromná SOŠ";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;;;;;"80";"91,2821";"8,39695";;;;;;;;;;;;;"70,6422";;;;
"41";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;"2,58014";"8,67093";;;"23,2331";"30,9774";"18,797";;;;;;;;;;;;;"33,8454";;;;
"42";"Bratislavskı";"Bratislava II";"Súkromník";"Hotelová akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. hotelová akadémia";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";"37,3762";;;;"16,0584";"42,515";;;;;;;;;"89,2308";"57,9487";"40,458";;;;;;;;;;;;;"79,8165";;;;
"43";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Borodáèova 2";"Bratislava - Ruinov";"82103";;;;;;;;;;;"42,846";"41,9332";;;;;;;;;;;;;;;;;;"65,2904";;;;
"44";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Drieòová 16";"Bratislava - Ruinov";"82103";;;;;;;;;;;"76,7787";"81,0235";;;"87,1429";"75,8647";"45,2632";;;;;;;;;;;;;"3,02448";;;;
"45";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ stavebná";"Drieòová 35";"Bratislava - Ruinov";"82664";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"46";"Bratislavskı";"Bratislava II";"Súkromník";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Súkromné gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";"5,36585";"25,8706";;;;;"38,7097";;;;;;;;;;;;;;;;;;;;;;;"72,0721";;;;
"47";"Bratislavskı";"Bratislava II";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"Súkromná ZŠ Galileo";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"59,4335";;;;
"48";"Bratislavskı";"Bratislava II";"Súkromník";"Športové gymnázium";"Slovenskı";"Gymnázium";"Súkr. šport. gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"0,97561";;;;;"20";;;;;;;;;"11,9048";"3,96825";"26,9841";;;;;;;;;;;;;"88,7387";;;;
"49";"Bratislavskı";"Bratislava II";"Súkromník";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. obchodná akadémia";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"56,1881";;;;"69,8297";;;;;;;;;;;;;;;;;;;;;;;;;"98,8532";;;;
"50";"Bratislavskı";"Bratislava II";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Exnárova 6";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"84,3407";;;;
"51";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Španielsky bil.";"Gymnázium";"Gymnázium F. G. Lorcu";"Hronská 3";"Bratislava - Podunajské Biskupice";"82107";"75,6098";"28,3582";;;;"79";;;;;;;;;"83,3333";"59,5238";"44,4444";;;;;;;;;;;;;"9,90991";;;;
"52";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Chlumeckého 10";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"48,6264";;;;
"53";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Ivana Horvátha 14";"Bratislava - Ruinov";"82103";"42,439";"11,9403";;;;"63,5";;;"54,717";;;;;;"30,9524";"80,1587";"52,381";;;;;;;;;;;;;"57,2072";;;;
"54";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82375";"16,8317";;;;"42,5791";;;;;;;;;;;;;;;;;;;;;;;;;"4,81651";;;;
"55";"Bratislavskı";"Bratislava II";"Súkromník";"SOŠ umeleckoremeselná";"Slovenskı";"Stredná odborná škola";"Súkr.str.umelecká škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82104";"49,505";;;;"72,5061";"43,7126";;;;;;;;;"96,4103";"24,6154";"48,855";;;;;;;;;;;;;"94,9541";;;;
"57";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"OU pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna stredná škola";"OU pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"88,2812";;;;
"58";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"SOŠ pre sluchovo postihn.int.";"Slovenskı";"Špeciálna stredná škola";"SOŠ pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";"50";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96,875";;;;
"59";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická";"Košická";"Bratislava - Ruinov";"82109";;;;;;;;;;;"98,9836";"99,5025";;;;;;;;;;;;;;;;;;"1,15218";;;;
"62";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kulíškova 8";"Bratislava - Ruinov";"82108";;;;;;;;;;;"25,4887";"38,6638";;;;;;;;;;;;;;;;;;"67,7868";;;;
"63";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ dopravná";"Kvaèalova 20";"Bratislava - Ruinov";"82108";"28,4653";;;;"70,8029";;;"39,9209";;;;;;;"58,4615";"89,2308";;;;;;;;;;;;;;"41,055";;;;
"64";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Medzilaborecká 11";"Bratislava - Ruinov";"82101";;;;;;;;;;;"82,5645";"80,3838";;;;;;;;;;;;;;;;;;"8,54537";;;;
"65";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Francúzsky bil.";"Gymnázium";"Spojená škola-Gymnázium";"Metodova 2";"Bratislava - Ruinov";"82108";"90,2439";"77,1144";;;;"96";;;"88,6792";;;;;;"77,7778";"80,1587";"35,7143";;;;;;;;;;;;;"25,2252";;;;
"66";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mierová 46";"Bratislava - Ruinov";"82105";;;;;;;;;;;"90,3831";"94,3852";;;"80,0752";"78,5714";"99,2481";;;;;;;;;;;;;"11,7139";;;;
"67";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Mierová 46";"Bratislava - Ruinov";"82105";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"98,6264";;;;
"68";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Nevädzová 2";"Bratislava - Ruinov";"82101";;;;;;;;;;;"58,8741";"78,678";;;"82,406";"94,1353";"64,2105";;;;;;;;;;;;;"7,29717";;;;
"69";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Obchodná akadémia";"Nevädzová 3";"Bratislava - Ruinov";"82007";"89,8515";;;;"84,6715";"84,4311";;"97,2332";;;;;;;;;;;;;;;;;;;;;;"18,578";;;;
"70";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna ZŠ";"Nevädzová 3";"Bratislava - Ruinov";"82101";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"51,0769";;;;
"71";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická (PYP)";"Novohradská 3";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"7,00912";;;;
"72";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Gymnázium Jura Hronca";"Novohradská 3";"Bratislava - Ruinov";"82109";"92,6829";"89,5522";;;;"98";"96,7742";;;;;;;;;;;;;;;;;;;;;;;"55,8559";;;;
"73";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Športové gymnázium";"Slovenskı";"Športové gymnázium";"Športové gymnázium";"Ostredková 10";"Bratislava - Ruinov";"82102";"50";"0";;;;"40";;;"100";;;;;;"100";"0";"100";;;;;;;;;;;;;"0";;;;
"74";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ostredková 14";"Bratislava - Ruinov";"82102";;;;;;;;;;;"85,2228";"78,0384";;;;;;;;;;;;;;;;;;"4,32069";;;;
"75";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ drevárska";"Slovenskı";"Stredná odborná škola";"SOŠ drevárska";"Pavlovièova 3";"Bratislava - Ruinov";"82104";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"76";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Podzáhradná 51";"Bratislava - Podunajské Biskupice";"82107";;;;;;;;;;;"22,283";"50,462";;;;;;;;;;;;;;;;;;"7,58521";;;;
"77";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Rajèianska 3";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;"45,7389";"64,3213";;;"89,4737";"77,4436";"77,6692";;;;;;;;;;;;;"9,26548";;;;
"78";"Bratislavskı";"Bratislava II";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"SOŠ";"Ruinovská 1";"Bratislava - Ruinov";"82601";"18,5644";;;;"27,0073";"35,9281";;"45,8498";;;;;;;"69,7436";"56,4103";"61,0687";;;;;;;;;;;;;"35,5505";;;;
"79";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;"43,3933";"36,7448";;;"29,5489";"45,8647";"42,2556";;;;;;;;;;;;;"14,3543";;;;
"80";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"ZŠ-roè.II. stupeò";"Slovenskı";"Základná škola";"Súkromná základná škola";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"80,7489";;;;
"81";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"73,3516";;;;
"82";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"Stredná pedagogická škola";"Slovenskı";"Stredná odborná škola";"Súkr. ped. a soc. akad";"Ruová Dolina 29";"Bratislava - Ruinov";"82109";"30,6931";;;;"95,6204";;;;;;;;;;;;;;;;;;;;;;;;;"97,4771";;;;
"83";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ obchodu a sluieb";"Slovenskı";"Stredná odborná škola";"SOŠ obch.a sluieb";"Sklenárova 1";"Bratislava - Ruinov";"82109";"23,7624";;;;"77,8589";;;"6,71937";;;;;;;"86,6667";"60,5128";"39,6947";;;;;;;;;;;;;"53,4404";;;;
"84";"Bratislavskı";"Bratislava II";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Sklenárova 5";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"76,9231";;;;
"85";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná umelecká škola";"Slovenskı";"Stredná odborná škola";"SUŠ scénic.vytvarníctva";"Sklenárova 7";"Bratislava - Ruinov";"82489";"35,396";;;;"56,4477";"91,6168";;"67,1937";;;;;;;;;;;;;;;;;;;;;;"90,1376";;;;
"86";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ dopravná";"Slovenskı";"Stredná odborná škola";"SOŠ dopravná";"Sklenárova 9";"Bratislava - Ruinov";"82109";"33,1683";;;;"36,0097";"2,39521";;;;;;;;;"10,7692";"82,0513";"26,7176";;;;;;;;;;;;;"32,7982";;;;
"89";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stred. odborná škola";"Svätoplukova 2";"Bratislava - Ruinov";"82108";"27,4752";;;;"18,9781";;;"64,4269";;;;;;;;;;;;;;;;;;;;;;"7,56881";;;;
"90";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Spojená škola-Gymnázium";"Tokajícka 24";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"78,8288";;;;
"91";"Bratislavskı";"Bratislava III";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium L.Novomeského";"Tomášikova 2";"Bratislava - Nové Mesto";"82729";"55,6098";"63,1841";;;;"82,5";;;;;;;;;;;;;;;;;;;;;;;;"17,5676";;;;
"92";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s MŠ";"Vetvárska 7";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;;"91,7555";"90,3704";"100";;;;;;;;;;;;;;;;"83,8214";;;;
"93";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vrútocká 58";"Bratislava - Ruinov";"82104";;;;;;;;;;;"65,6763";"72,2104";;;"68,1203";"44,5113";"98,5714";;;;;;;;;;;;;"23,2837";;;;
"94";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná zdravotnícka škola";"Slovenskı";"Stredná odborná škola";"SZŠ";"Záhradnícka 44";"Bratislava - Ruinov";"82108";"77,2277";;;;"75,1825";"88,6228";;"71,5415";;;;;;;"95,3846";"59,4872";"90,8397";;;;;;;;;;;;;"97,9358";;;;
"95";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"eleznièná 14";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;"10,6333";"51,457";;;"87,1429";"80,5263";"69,4737";;;;;;;;;;;;;"6,52905";;;;
"96";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"eleznièná 14";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"67,3077";;;;
"97";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"itavská 1";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;"69,742";"59,4172";;;"82,0301";"100";"27,218";;;;;;;;;;;;;"19,2031";;;;
